recipe_id,name,meal_type,ingredients,cuisine,cooking_time,instructions
1,Masoor Dal (Tiffin Special),Lunch,"masoor dal,onion,tomato,oil,salt,turmeric,cumin",Indian,20,"Prepare Masoor Dal using masoor dal, onion, tomato. Cook with spices and serve hot."
2,Aloo Tikki (Quick),Breakfast,"potato,bread crumbs,salt,green chili,oil",Indian,25,"Prepare Aloo Tikki using potato, bread crumbs, salt. Cook with spices and serve hot."
3,Dal Khichdi (South Style),Dinner,"rice,moong dal,ghee,salt,turmeric,cumin",South Indian,25,"Prepare Dal Khichdi using rice, moong dal, ghee. Cook with spices and serve hot."
4,Aloo Paratha (Tiffin Special),Breakfast,"wheat flour,potato,onion,green chili,salt,oil,butter",North Indian,30,"Prepare Aloo Paratha using wheat flour, potato, onion. Cook with spices and serve hot."
5,Thepla (Quick),Breakfast,"wheat flour,methi leaves,oil,salt,turmeric,green chili",Gujarati,30,"Prepare Thepla using wheat flour, methi leaves, oil. Cook with spices and serve hot."
6,Vegetable Omelette (Quick),Breakfast,"egg,onion,tomato,salt,oil,green chili",Indian,18,"Prepare Vegetable Omelette using egg, onion, tomato. Cook with spices and serve hot."
7,Moong Dal Dosa (North Style),Dinner,"moong dal,salt,oil,green chili",North Indian,10,"Prepare Moong Dal Dosa using moong dal, salt, oil. Cook with spices and serve hot."
8,Sprouts Salad (Tiffin Special),Dinner,"sprouts,onion,tomato,lemon,salt",Indian,10,"Prepare Sprouts Salad using sprouts, onion, tomato. Cook with spices and serve hot."
9,Idli (South Style),Breakfast,"rice,urad dal,salt,water",South Indian,15,"Prepare Idli using rice, urad dal, salt. Cook with spices and serve hot."
10,Tinda Sabzi (Home Style),Lunch,"tinda,onion,tomato,oil,salt,turmeric",Indian,25,"Prepare Tinda Sabzi using tinda, onion, tomato. Cook with spices and serve hot."
11,Vegetable Soup (South Style),Dinner,"carrot,beans,onion,garlic,salt,black pepper,water",South Indian,20,"Prepare Vegetable Soup using carrot, beans, onion. Cook with spices and serve hot."
12,Paneer Bhurji (North Style),Breakfast,"paneer,onion,tomato,oil,salt,green chili",North Indian,18,"Prepare Paneer Bhurji using paneer, onion, tomato. Cook with spices and serve hot."
